2026/09/21 20:01:42.672, 65.14 W, 600.00 W, 2542 MHz, 47, 29998 MiB
2026/09/21 20:01:43.679, 65.11 W, 600.00 W, 2542 MHz, 47, 29998 MiB
2026/09/21 20:01:44.680, 65.21 W, 600.00 W, 2542 MHz, 47, 29998 MiB
2026/09/21 20:01:45.680, 65.45 W, 600.00 W, 2542 MHz, 47, 29998 MiB
2026/09/21 20:01:46.681, 65.47 W, 600.00 W, 2542 MHz, 47, 29998 MiB
2026/09/21 20:01:47.681, 65.70 W, 600.00 W, 2542 MHz, 47, 29998 MiB
2026/09/21 20:01:48.682, 65.88 W, 600.00 W, 2542 MHz, 47, 29998 MiB
2026/09/21 20:01:49.682, 65.63 W, 600.00 W, 2542 MHz, 47, 29998 MiB
2026/09/21 20:01:50.683, 65.32 W, 600.00 W, 2542 MHz, 47, 29998 MiB
2026/09/21 20:01:51.683, 64.94 W, 600.00 W, 2542 MHz, 47, 29998 MiB
2026/09/21 20:01:52.684, 65.16 W, 600.00 W, 2542 MHz, 47, 29998 MiB
2026/09/21 20:01:53.684, 65.50 W, 600.00 W, 2542 MHz, 46, 29998 MiB
2026/09/21 20:01:54.685, 53.85 W, 600.00 W, 510 MHz, 46, 29998 MiB
2026/09/21 20:01:55.688, 33.47 W, 600.00 W, 420 MHz, 46, 29998 MiB
2026/09/21 20:01:56.689, 27.02 W, 600.00 W, 255 MHz, 46, 29998 MiB
2026/09/21 20:01:57.690, 23.43 W, 600.00 W, 195 MHz, 45, 29998 MiB
2026/09/21 20:01:58.691, 65.85 W, 600.00 W, 195 MHz, 53, 30220 MiB
2026/09/21 20:01:59.692, 291.24 W, 600.00 W, 2895 MHz, 52, 30220 MiB
2026/09/21 20:02:00.693, 352.24 W, 600.00 W, 2895 MHz, 53, 30220 MiB
2026/09/21 20:02:01.693, 352.37 W, 600.00 W, 2887 MHz, 53, 30220 MiB
2026/09/21 20:02:02.694, 353.58 W, 600.00 W, 2887 MHz, 53, 30220 MiB
2026/09/21 20:02:03.695, 371.74 W, 600.00 W, 2887 MHz, 54, 30220 MiB
2026/09/21 20:02:04.696, 353.65 W, 600.00 W, 2887 MHz, 54, 30220 MiB
2026/09/21 20:02:05.697, 353.91 W, 600.00 W, 2887 MHz, 54, 30220 MiB
2026/09/21 20:02:06.698, 354.34 W, 600.00 W, 2887 MHz, 54, 30220 MiB
2026/09/21 20:02:07.699, 155.67 W, 600.00 W, 2902 MHz, 49, 30220 MiB
2026/09/21 20:02:08.700, 88.75 W, 600.00 W, 2902 MHz, 49, 30220 MiB
2026/09/21 20:02:09.700, 70.74 W, 600.00 W, 2542 MHz, 48, 30220 MiB
2026/09/21 20:02:10.700, 66.45 W, 600.00 W, 2542 MHz, 48, 30220 MiB
2026/09/21 20:02:11.701, 66.46 W, 600.00 W, 2542 MHz, 48, 30220 MiB
2026/09/21 20:02:12.702, 66.02 W, 600.00 W, 2542 MHz, 48, 30220 MiB
2026/09/21 20:02:13.702, 65.49 W, 600.00 W, 2542 MHz, 48, 30220 MiB
2026/09/21 20:02:14.703, 65.56 W, 600.00 W, 2542 MHz, 48, 30220 MiB
2026/09/21 20:02:15.703, 66.14 W, 600.00 W, 2542 MHz, 48, 30220 MiB
2026/09/21 20:02:16.704, 66.17 W, 600.00 W, 2542 MHz, 48, 30220 MiB
2026/09/21 20:02:17.704, 65.92 W, 600.00 W, 2542 MHz, 48, 30220 MiB
2026/09/21 20:02:18.705, 65.56 W, 600.00 W, 2542 MHz, 48, 30220 MiB
2026/09/21 20:02:19.705, 65.74 W, 600.00 W, 2542 MHz, 48, 30220 MiB
2026/09/21 20:02:20.706, 65.80 W, 600.00 W, 2542 MHz, 48, 30220 MiB
2026/09/21 20:02:21.706, 65.84 W, 600.00 W, 2542 MHz, 48, 30220 MiB
2026/09/21 20:02:22.707, 65.81 W, 600.00 W, 2542 MHz, 48, 30220 MiB
2026/09/21 20:02:23.707, 147.54 W, 600.00 W, 952 MHz, 54, 30220 MiB
2026/09/21 20:02:24.708, 353.47 W, 600.00 W, 2887 MHz, 54, 30220 MiB
2026/09/21 20:02:25.709, 352.96 W, 600.00 W, 2887 MHz, 54, 30220 MiB
2026/09/21 20:02:26.710, 354.74 W, 600.00 W, 2887 MHz, 54, 30220 MiB
2026/09/21 20:02:27.711, 354.75 W, 600.00 W, 2887 MHz, 55, 30220 MiB
2026/09/21 20:02:28.712, 370.87 W, 600.00 W, 2865 MHz, 56, 30220 MiB
2026/09/21 20:02:29.713, 355.27 W, 600.00 W, 2887 MHz, 55, 30220 MiB
2026/09/21 20:02:30.714, 355.73 W, 600.00 W, 2887 MHz, 55, 30220 MiB
2026/09/21 20:02:31.715, 356.21 W, 600.00 W, 2887 MHz, 56, 30220 MiB
2026/09/21 20:02:32.716, 356.79 W, 600.00 W, 2887 MHz, 56, 30220 MiB
2026/09/21 20:02:33.717, 357.33 W, 600.00 W, 2887 MHz, 56, 30220 MiB
2026/09/21 20:02:34.718, 358.16 W, 600.00 W, 2887 MHz, 56, 30220 MiB
2026/09/21 20:02:35.719, 247.07 W, 600.00 W, 2895 MHz, 51, 30220 MiB
2026/09/21 20:02:36.719, 91.65 W, 600.00 W, 2902 MHz, 51, 30220 MiB
2026/09/21 20:02:37.720, 75.50 W, 600.00 W, 2542 MHz, 50, 30220 MiB
2026/09/21 20:02:38.720, 75.42 W, 600.00 W, 2617 MHz, 50, 30220 MiB
2026/09/21 20:02:39.721, 68.21 W, 600.00 W, 2542 MHz, 50, 30220 MiB
2026/09/21 20:02:40.721, 67.55 W, 600.00 W, 2542 MHz, 50, 30220 MiB
2026/09/21 20:02:41.722, 67.40 W, 600.00 W, 2542 MHz, 50, 30220 MiB
2026/09/21 20:02:42.722, 66.75 W, 600.00 W, 2542 MHz, 50, 30220 MiB
2026/09/21 20:02:43.723, 67.03 W, 600.00 W, 2542 MHz, 49, 30220 MiB
2026/09/21 20:02:44.723, 67.14 W, 600.00 W, 2542 MHz, 49, 30220 MiB
2026/09/21 20:02:45.723, 66.99 W, 600.00 W, 2542 MHz, 49, 30220 MiB
2026/09/21 20:02:46.724, 67.20 W, 600.00 W, 2542 MHz, 49, 30220 MiB
2026/09/21 20:02:47.724, 67.79 W, 600.00 W, 2542 MHz, 49, 30220 MiB
2026/09/21 20:02:48.725, 67.98 W, 600.00 W, 2542 MHz, 49, 30220 MiB
2026/09/21 20:02:49.725, 67.20 W, 600.00 W, 2542 MHz, 49, 30220 MiB
2026/09/21 20:02:50.726, 66.35 W, 600.00 W, 2542 MHz, 49, 30220 MiB
2026/09/21 20:02:51.726, 125.99 W, 600.00 W, 2767 MHz, 51, 31640 MiB
2026/09/21 20:02:52.727, 428.78 W, 600.00 W, 2880 MHz, 55, 31640 MiB
2026/09/21 20:02:53.728, 415.22 W, 600.00 W, 2880 MHz, 57, 31640 MiB
2026/09/21 20:02:54.730, 416.79 W, 600.00 W, 2880 MHz, 58, 31640 MiB
2026/09/21 20:02:55.731, 409.45 W, 600.00 W, 2880 MHz, 58, 31640 MiB
2026/09/21 20:02:56.732, 354.45 W, 600.00 W, 2887 MHz, 57, 31642 MiB
2026/09/21 20:02:57.732, 334.70 W, 600.00 W, 2887 MHz, 55, 31642 MiB
2026/09/21 20:02:58.733, 215.76 W, 600.00 W, 2895 MHz, 52, 31642 MiB
2026/09/21 20:02:59.734, 92.20 W, 600.00 W, 2902 MHz, 52, 31642 MiB
2026/09/21 20:03:00.735, 79.05 W, 600.00 W, 2542 MHz, 51, 31642 MiB
2026/09/21 20:03:01.735, 68.30 W, 600.00 W, 2542 MHz, 51, 31642 MiB
2026/09/21 20:03:02.736, 67.96 W, 600.00 W, 2542 MHz, 51, 31642 MiB
2026/09/21 20:03:03.736, 67.39 W, 600.00 W, 2542 MHz, 51, 31642 MiB
2026/09/21 20:03:04.737, 67.29 W, 600.00 W, 2542 MHz, 50, 31642 MiB
2026/09/21 20:03:05.737, 67.61 W, 600.00 W, 2542 MHz, 50, 31642 MiB
2026/09/21 20:03:06.738, 67.99 W, 600.00 W, 2542 MHz, 50, 31642 MiB
2026/09/21 20:03:07.738, 68.17 W, 600.00 W, 2542 MHz, 50, 31642 MiB
2026/09/21 20:03:08.739, 68.20 W, 600.00 W, 2542 MHz, 50, 31642 MiB
2026/09/21 20:03:09.739, 68.68 W, 600.00 W, 2542 MHz, 50, 31642 MiB
2026/09/21 20:03:10.740, 68.79 W, 600.00 W, 2542 MHz, 50, 31642 MiB
